DX DESCRIPTION,CUI
Description,C0678257|C4528195
Typhoid pneumonia,C0339956
Typhoid arthritis,C2880089
Typhoid osteomyelitis,C2880090
Salmonella sepsis,C0152486
Salmonella pneumonia,C0152489
Salmonella arthritis,C0152490
Salmonella osteomyelitis,C0152491
Amebic lung abscess,C0152502
Cryptosporidiosis,C0010418
Pneumonic plague,C0524688
Septicemic plague,C0152936
Pulmonary tularemia,C0339946
Pulmonary anthrax,C0155866
Anthrax sepsis,C0152946
Erysipelothrix sepsis,C0343453|C3164123
Pulmonary mycobacterial infection,C0392054
Disseminated mycobacterium avium-intracellulare complex (DMAC),C2887058
Listerial sepsis,C2887062|C3163840
Diphtheritic cardiomyopathy,C2887063
Waterhouse-Friderichsen syndrome,C0043068|C1403891
Acute meningococcemia,C0473877
Chronic meningococcemia,C0343489
"Meningococcemia, unspecified",C0025306
Meningococcal arthritis,C1457881
Postmeningococcal arthritis,C0343491
"Sepsis due to streptococcus, group A",C2887082
"Sepsis due to streptococcus, group B",C2887083
Sepsis due to Streptococcus pneumoniae,C2887084
Other streptococcal sepsis,C2887085
"Streptococcal sepsis, unspecified",C0152964
Sepsis due to Methicillin susceptible Staphylococcus aureus,C3264362
Sepsis due to Methicillin resistant Staphylococcus aureus,C3164390
Sepsis due to other specified staphylococcus,C2887089
Sepsis due to unspecified staphylococcus,C2887090
Sepsis due to Hemophilus influenzae,C2887091
Sepsis due to anaerobes,C2887092
"Gram-negative sepsis, unspecified",C0036685
Sepsis due to Escherichia coli [E. coli],C2887094
Sepsis due to Pseudomonas,C2887096
Sepsis due to Serratia,C2887097
Other Gram-negative sepsis,C2887098
Sepsis due to Enterococcus,C0588233
Other specified sepsis,C2887099
"Sepsis, unspecified organism",C2887101
Pulmonary actinomycosis,C0275566
Actinomycotic sepsis,C0349008
Pulmonary nocardiosis,C0275583
Gas gangrene,C0017105
Legionnaires' disease,C0023241
Toxic shock syndrome,C0600327|C3714602
Late congenital syphilitic arthropathy,C2893328
"Gonococcal infection of musculoskeletal system, unspecified",C0494057
Gonococcal spondylopathy,C2893389
Gonococcal arthritis,C0153216|C2062407
Gonococcal osteomyelitis,C2893390
Gonococcal infection of other musculoskeletal tissue,C2893392
Gonococcal pneumonia,C2893395
Gonococcal peritonitis,C0018077|C2062981
Gonococcal sepsis,C1398892
Bone and joint lesions of yaws,C0343834
Arthritis due to Lyme disease,C2900441
"Creutzfeldt-Jakob disease, unspecified",C0022336
Variant Creutzfeldt-Jakob disease,C0376329
Other Creutzfeldt-Jakob disease,C2900450
Subacute sclerosing panencephalitis,C0038522
Progressive multifocal leukoencephalopathy,C0023524
Kuru,C0022802
Gerstmann-Straussler-Scheinker syndrome,C0017495
Fatal familial insomnia,C0206042|C1418941
Other atypical virus infections of central nervous system,C0343539
"Atypical virus infection of central nervous system, unspecified",C0851226
Disseminated herpesviral disease,C0494082
Herpes simplex myelitis,C1719298
Varicella myelitis,C2900490
Postherpetic myelitis,C2900493
Rubella arthritis,C0276308
Chronic viral hepatitis B with delta-agent,C0400918
Chronic viral hepatitis B without delta-agent,C0276610
Chronic viral hepatitis C,C0524910
Other chronic viral hepatitis,C0348200
"Chronic viral hepatitis, unspecified",C0276623
Human immunodeficiency virus [HIV] disease,C0019693
Cytomegaloviral pneumonitis,C0276253
Cytomegaloviral hepatitis,C0276252
Cytomegaloviral pancreatitis,C0341465
Other cytomegaloviral diseases,C0348218
"Cytomegaloviral disease, unspecified",C0010823
Mumps arthritis,C0276321
Viral cardiomyopathy,C0264797
Pulmonary candidiasis,C0153251
Candidal sepsis,C2911632
Candidal sepsis,C2911632
Candidal esophagitis,C0239295
Acute pulmonary coccidioidomycosis,C0348992
Chronic pulmonary coccidioidomycosis,C0339963
"Pulmonary coccidioidomycosis, unspecified",C0375046
Acute pulmonary histoplasmosis capsulati,C0343898
Chronic pulmonary histoplasmosis capsulati,C0343899
"Pulmonary histoplasmosis capsulati, unspecified",C0348257
Acute pulmonary blastomycosis,C0348805
Chronic pulmonary blastomycosis,C0343920
"Pulmonary blastomycosis, unspecified",C0339964
Pulmonary paracoccidioidomycosis,C0276665
Sporotrichosis arthritis,C2830236
Invasive pulmonary aspergillosis,C0276653
Other pulmonary aspergillosis,C0348258
Tonsillar aspergillosis,C0348989
Disseminated aspergillosis,C0004032
Allergic bronchopulmonary aspergillosis,C0004031
Other forms of aspergillosis,C0348249
"Aspergillosis, unspecified",C0004030
Pulmonary cryptococcosis,C0276688
Cerebral cryptococcosis,C0348991
Cutaneous cryptococcosis,C0343888
Osseous cryptococcosis,C0276690
Disseminated cryptococcosis,C0343890
Other forms of cryptococcosis,C0348251
"Cryptococcosis, unspecified",C5235087
Pulmonary mucormycosis,C0339962
Rhinocerebral mucormycosis,C0348802
Gastrointestinal mucormycosis,C0348803
Cutaneous mucormycosis,C0343957
Disseminated mucormycosis,C0343960
"Mucormycosis, unspecified",C0026718
Other zygomycoses,C0348253
"Zygomycosis, unspecified",C0043541
Penicillosis,C0348993
Other specified mycoses,C0343847
Toxoplasma meningoencephalitis,C0085315
Pulmonary toxoplasmosis,C3495536
Pneumocystosis,C1535939
Paragonimiasis,C0030424
Echinococcus granulosus infection of lung,C0153290
"Human immunodeficiency virus, type 2 [HIV 2] as the cause of diseases classified elsewhere",C2833824
Malignant neoplasm of base of tongue,C0153350
Malignant neoplasm of dorsal surface of tongue,C0153351
Malignant neoplasm of border of tongue,C0496755
Malignant neoplasm of ventral surface of tongue,C0684333
"Malignant neoplasm of anterior two-thirds of tongue, part unspecified",C0153354
Malignant neoplasm of lingual tonsil,C0153356
Malignant neoplasm of overlapping sites of tongue,C0496756
